m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.1,0.1,-1.0760705252899983e-05,-8.83296108194001e-05,0.00011054289342170005
0.1,0.2,3.820816173610007e-05,0.0009959757036496,3.403309626120012e-05
0.1,0.3,6.240455531529988e-05,,-0.0002590226595472001
0.1,0.4,0.00015620798251810009,,-0.00023711546556729997
0.1,0.5,0.00017380979091120006,,-0.000537626011209
0.1,0.6,0.000237469980272,,-0.0006215295417931001
0.1,0.7,0.0002562001184989,,-0.0007116301601742001
0.1,0.8,0.0003375828210566,,-0.0007153900674871998
0.1,0.9,0.0004081182097756999,,-0.0006382190551328
0.2,0.2,0.00017102709149039992,-6.443686265320014e-05,0.0002838518217973
0.2,0.3,0.0002316059092280999,0.0003410269232167998,0.00027356916428040003
0.2,0.4,0.00032226723317940005,0.0010243200936478,0.0004408706380998001
0.2,0.5,0.00042311495881979986,-0.00021367746619680014,0.0004468223134592999
0.2,0.6,0.0004845350870569,,0.0004387227357096001
0.2,0.7,0.0006205568156378,,0.00037401906920659994
0.2,0.8,0.0006394504447706,,0.00017744990820560012
0.2,0.9,0.0007174447090938,,0.0001360572850902
0.3,0.3,0.0005702282130883999,3.270228673099996e-05,0.0006830837599224998
0.3,0.4,0.0006191229322116,0.0003293730893638,0.0007261191574455999
0.3,0.5,0.0006926190579068999,0.0006181222961818999,0.0007582341561693
0.3,0.6,0.0007447101440516001,0.0009811036129212,0.0007771464984552001
0.3,0.7,0.0008778723514940999,0.0008774385386797999,0.0008738388452353
0.3,0.8,0.0009011510044265001,-0.0102642042572334,0.0009297698122701
0.3,0.9,0.0009634008228818,,0.0004613181881980001
0.4,0.4,0.0009405732984806,0.0002805342709354,0.0009110041109579001
0.4,0.5,0.0009119196419859,0.00040836183733969984,0.0010234439661671
0.4,0.6,0.0008805699892122001,0.0006622256801071001,0.0009929997663972
0.4,0.7,0.0010138013631468,0.0008570943226698999,0.0011021401281677999
0.4,0.8,0.0009812596651832001,0.0009298959889459001,0.0010071143729315
0.4,0.9,0.0010248992303918,,0.0007174244271215001
0.5,0.5,0.0009773517290228,0.0004951688865955002,0.0008137244311804
0.5,0.6,0.0010406028542971,0.0006564437320467001,0.0009783831582861001
0.5,0.7,0.0010171437988506,0.0008098738813218999,0.001090333856729
0.5,0.8,0.0009641808933609,0.0010795129652679,0.0009917261711888
0.5,0.9,0.0008755048028350001,,0.0007801857573304001
0.6,0.6,0.0005666507907048,0.0010264597388104,-0.00023087897111630012
0.6,0.7,0.0005677195810482999,0.0010269461930549001,-0.00011051919186030011
0.6,0.8,0.000281893912756,0.0010570476799418,1.111000184250005e-05
0.6,0.9,7.19510695328001e-05,-0.0059082554292734,-6.171528965419988e-05
0.7,0.7,-0.0010520140492221001,0.0010368693330657,-0.0021414308800631002
0.7,0.8,-0.001563523992528,0.0009523996936207999,-0.0024015263232697
0.7,0.9,-0.0022713400830596,-0.00030008628816360016,-0.0023407896908521006
0.8,0.8,-0.0101425575136751,0.0004000112635197,-0.011069718591071101
0.8,0.9,-0.0143192600177007,-0.0006731172821368002,-0.015277127706417001
0.9,0.9,-0.12249234817104951,-0.0067137046971644,-0.1193380266703582
0.01,0.01,6.661106531360007e-05,-2.431331387169988e-05,4.564958944919999e-05
0.02,0.02,8.95432488939999e-05,1.3025188301100032e-05,2.2630950349700023e-05
0.03,0.03,0.00012845682955479995,5.7327271531998954e-06,6.684569211340007e-05
0.04,0.04,0.0001329645966740001,7.050979251700001e-05,9.949093314230001e-05
0.05,0.05,0.00014622059999770004,4.4665320686300154e-05,8.390612615949986e-05
0.06,0.06,0.0001192525700575999,1.7123652962500006e-05,7.484280026999988e-05
0.07,0.07,8.669321090660001e-05,2.1144748120600042e-05,3.008908061300007e-05
0.08,0.08,0.0001220463708609999,5.69742147072999e-05,4.1246433660000045e-05
0.09,0.09,8.398004467459995e-05,1.8735107707599976e-05,4.9337228732800054e-05
0.11,0.11,8.821837422509984e-05,5.039866002379983e-05,3.742800791359984e-05
0.12,0.12,0.00017224397821370002,0.00010309821253419991,6.227013069150006e-05
0.13,0.13,0.00017100143119569986,0.00010889338601169992,8.33185378167e-05
0.14,0.14,0.00017382002622350003,0.00010656737054540004,8.53886774966001e-05
0.15,0.15,0.0001563661345748001,0.0001243816438332001,6.523966786580013e-05
0.16,0.16,0.00018683679542990002,0.00011586910749210007,9.489387160169986e-05
0.17,0.17,0.00010807198823870002,8.68588331430001e-05,3.1842487039999935e-05
0.18,0.18,0.0001318689085409001,0.00011239416702809994,5.56146415525002e-05
0.19,0.19,0.00020883963772569988,0.00011628689944379999,7.657518359199984e-05
0.21,0.21,0.00016758695786269991,0.00012520243755040003,5.778225827339999e-05
0.22,0.22,0.00020059968206049997,0.0001328601477426001,0.0001066893362666999
0.23,0.23,0.00019751862834610002,0.00022199320074770012,7.331170571179993e-05
0.24,0.24,0.00020153579612830009,0.0001393712618308,4.8850250782400077e-05
0.25,0.25,0.0003075926340144,0.00022590163018260004,8.614300583460006e-05
0.26,0.26,0.00047623856234400006,0.00038925891543430016,0.00012765832231400004
0.27,0.27,0.0005009957561907998,0.00037843463094059987,0.00014953094994490002
0.28,0.28,0.00045103490560979994,0.0003436529939752999,0.00011396281747500002
0.29,0.29,0.0005126747703355001,0.00036488249571140006,0.00016300767571259998
0.31,0.31,0.0005795236588119002,0.00039200415442590007,0.00019755954635640015
0.32,0.32,0.0006560141319510002,0.00047651899822320006,0.0002601548268274
0.33,0.33,0.000649875103811,0.0004496001526255,0.00027294518210860003
0.34,0.34,0.0006798073958413,0.00048738146153350006,0.0002699197001184998
0.35,0.35,0.0007431837157016001,0.0005032284021787999,0.0003350803570978001
0.36,0.36,0.0007893701162716999,0.0005146733296508999,0.0003628549991609
0.37,0.37,0.0008725219890718001,0.0005184375217471,0.0004180706760827001
0.38,0.38,0.0008915896338857,0.00048688105731240004,0.0005000266682752
0.39,0.39,0.0009379361404492001,0.0005381221385163,0.0004995228550338001
0.41,0.41,0.0009950464577635,0.0006296134492238998,0.0005026970349593001
0.42,0.42,0.0010089584756291,0.0006331254289604,0.0005113483886506
0.43,0.43,0.0010583993603426002,0.0007321686792832001,0.0005423765979702999
0.44,0.44,0.0010746073429886,0.0007250707072546001,0.0005556783664872999
0.45,0.45,0.0011366941753228,0.0007540185352341001,0.0005515660738717001
0.46,0.46,0.0011145221544811,0.0007554969654035,0.0005439055361298
0.47,0.47,0.0011691174775321999,0.0008691493651739999,0.000538396429849
0.48,0.48,0.0011367928462472,0.0008053117742835001,0.0005418801245417001
0.49,0.49,0.0011865922555064,0.0008491291482862,0.0005669499028146001
0.51,0.51,0.0012466221406143,0.0009731889366795,0.0005493679558149
0.52,0.52,0.0012311329649183,0.0010749958076924,0.0004951898050558999
0.53,0.53,0.0012458069543657,0.0010211699960335002,0.0004882130749688
0.54,0.54,0.0012418144616222,0.0010576670673352,0.00047439949628600006
0.55,0.55,0.0011411221661326,0.0010793752384164,0.0003122856793037
0.56,0.56,0.0010584321254916,0.0011488936378325001,0.00024329261975960007
0.57,0.57,0.0010308913909449998,0.0011784644092712,0.00020373589664909994
0.58,0.58,0.0010112903409838,0.0011515169100738002,0.00016082088745370004
0.59,0.59,0.0008694771375914001,0.0012073671567850001,2.2357356972000004e-05
0.61,0.61,0.0007779741418240001,0.0011799075145889001,-0.00012884964699689996
0.62,0.62,0.0005971153356743,0.0011962097835767,-0.0003618106758635
0.63,0.63,0.00036836052136870003,0.0010670860654060001,-0.00035903908274509996
0.64,0.64,0.00025913042811440004,0.0009597003631851,-0.00044234215040819987
0.65,0.65,-9.12827825423001e-05,0.0008735393269046,-0.000722620774661
0.66,0.66,-0.0002773064001849999,0.0008391687293682001,-0.0009342547976986
0.67,0.67,-0.0005037305256614,0.0008444015889741,-0.0011610593131594002
0.68,0.68,-0.0007398785510768001,0.0008933540611855,-0.0014499430032461
0.69,0.69,-0.0007697189001792002,0.0008693789896254999,-0.0015313812616846003
0.71,0.71,-0.0015547895854168998,0.0008725810650438,-0.0023537777365895
0.72,0.72,-0.0017472900493375998,0.0007420461637703001,-0.0024818718510204
0.73,0.73,-0.0028292939535747,0.0007605529229745999,-0.0036283365932857003
0.74,0.74,-0.0030536461670981,0.0007338850988858,-0.0038880990441098997
0.75,0.75,-0.0033594100092313,0.0006707279721854999,-0.0042088608736759
0.76,0.76,-0.0043508255727891,0.0005572964938833,-0.0051437592147254
0.77,0.77,-0.0053824081788009,0.0004961984351292001,-0.0061342275080036
0.78,0.78,-0.0061222654891053,0.00014853158424940009,-0.0068608738552344995
0.79,0.79,-0.007233849119428,0.00020143074274959994,-0.0079444989602157
0.81,0.81,-0.010615090917256799,-0.00041926327178700004,-0.0111382710883665
0.82,0.82,-0.014162491412314,-0.0007170673071794,-0.014626835718703601
0.83,0.83,-0.0188099044998208,-0.0014730828005108001,-0.019067631404627403
0.84,0.84,-0.0216093099794143,-0.0017640394356310003,-0.0218275405781804
0.85,0.85,-0.0256525507724958,-0.0016036306335825,-0.0256365409708398
0.86,0.86,-0.0336965258025536,-0.0020235740058242003,-0.0333614116170896
0.87,0.87,-0.0412157688962954,-0.0032272499095978,-0.040357520678685595
0.88,0.88,-0.061148663686904796,-0.0031905093887568997,-0.059663624258790696
0.89,0.89,-0.1144508807725011,-0.007891668984248399,-0.1124107113541508
0.91,0.91,-0.1574530004648371,-0.014286492415708701,-0.15216569571506008
0.92,0.92,-0.2345429786621846,-0.019722539541041098,-0.2275688590081231
0.93,0.93,-0.4543784673840811,-0.026252311008677903,-0.4419045366524839
0.94,0.94,-0.5360505136912503,-0.0462232949977048,-0.5163475679423928
0.95,0.95,-0.8073869000853617,-0.0717588747647865,-0.7732442263322034
0.96,0.96,-0.9746908172582673,-0.11399400008191869,-0.8881193035670952
0.97,0.97,-1.4532462039209464,-0.3000281392114634,-1.1891484446737812
0.98,0.98,-1.5445873632127884,-0.550500536725486,-0.8181782324555331
0.99,0.99,-1.5425646583650467,-1.4786039703553735,-0.41916135697969614
